gvkey,conm,ticker,industry,latest_observed_date,risk_horizon,pred_risk_2026
050791,SKY QUARRY INC,,Petroleum Refining,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.45761404633522035
027574,TPI COMPOSITES INC,,Industrial Machinery & Computers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3848661631345749
345920,HYDROFARM HLDNG GP INC,,Industrial Machinery & Computers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.36799432933330534
065430,CHILDRENS PLACE INC,,Apparel Retail,2026-01-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.36118654906749725
039436,URGENT.LY INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.35760060846805575
040723,AMERICAN REBEL HOLDINGS INC,,Furniture & Fixtures,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3497225075960159
037490,LUMINAR TECHNOLOGIES INC,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3427894115447998
026356,ARTELO BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3311834245920181
026028,EMPIRE PETROLEUM CORP,,Oil & Gas Extraction,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.33098802268505095
031418,PROPHASE LABS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.32953194081783294
018549,CLEARONE INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.32825940251350405
036519,IM CANNABIS CORP,,,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3256050437688828
062302,SPAR GROUP INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3152044802904129
253355,AVITA MEDICAL INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.31210671961307523
037819,ALLURION TECHNOLOGIES INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3120902508497238
040327,ANGEL STUDIOS INC,,Motion Pictures,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.310858716070652
025447,SKYX PLATFORMS CORP,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3100068122148514
041686,SNAIL INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3071377038955688
038030,ENVOY MEDICAL INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.3061625510454178
039903,GCT SEMICONDUCTOR HOLDNG INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2998951345682144
043758,OS THERAPIES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2954081386327744
037541,BIOATLA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2952424466609955
039912,NEUROSENSE THERAPEUTICS LTD,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.29116677343845365
038242,LONGEVITY HEALTH HLDINGS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2900948256254196
164293,STRATA SKIN SCIENCES INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2900488555431366
037660,STARDUST POWER INC,,Primary Metals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.28691230714321136
328080,SMX (SECURITY MATTERS) PLC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2854615837335587
043100,SURF AIR MOBILITY INC,,Air Transportation,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2814807057380676
026189,MOUNTAIN PROVINCE DIAMONDS,,Nonmetallic Minerals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2809184968471527
024310,RENX ENTERPRISES CORP,,Real Estate,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2799091309309006
165286,APPTECH PAYMENTS CORP,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.27825260162353516
024598,BIOCARDIA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2746828764677048
050437,WELLGISTICS HEALTH INC,,Wholesale - Nondurable Goods,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2712427258491516
177981,SINTX TECHNOLOGIES INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.26820744276046754
041636,CALIBERCOS INC,,Security Brokers & Dealers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.26811269521713255
271295,ANTERIS TECHNOLOGIES GLBL CP,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2632556349039078
043435,SHIMMICK CORP,,Heavy Construction,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2622149884700775
041474,NEWTON GOLF COMPANY INC,,Misc Manufacturing,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.26194353103637696
037797,P3 HEALTH PARTNERS INC,,Health Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.26059296578168867
060801,SOCKET MOBILE INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2600191682577133
038535,ESTRELLA IMMUNOPHARMA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.25836129039525985
009393,SAN JUAN BASIN ROYALTY TR,,Holding & Investment Offices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.258155582845211
138341,CURIS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2580159455537796
050382,ZSPACE INC,,Industrial Machinery & Computers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.25781086683273313
024421,BOXLIGHT CORP,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2553201377391815
038804,ZYVERSA THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.25358025431632997
038874,NRX PHARMACEUTICALS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2525563478469849
325212,BRENMILLER ENERGY LTD,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.25025793015956876
271987,NUWELLIS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2492616891860962
042847,INTERACTIVE STRENGTH INC,,Misc Manufacturing,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.24583157002925873
349337,SPECTRAL AI INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.24487758576869964
027251,VIVID SEATS INC,,Amusement & Recreation,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.24463689625263213
039966,CID HOLDCO INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.24073803424835205
025105,PRESURANCE HOLDINGS INC,,Insurance Carriers,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23992194831371308
026630,REALLOYS INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2393150433897972
038109,GROVE COLLABORATIVE HLDG INC,,Misc Retail,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23847615122795104
034753,GENERATION INCOME PROPER INC,,Holding & Investment Offices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23699021637439727
025750,APTOSE BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23565585017204285
062525,AIM IMMUNOTECH INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23468800634145737
034382,AVALON GLOBOCARE CORP,,Real Estate,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23407100439071654
038900,HCW BIOLOGICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2339418798685074
039853,TEVOGEN BIO HOLDINGS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23335713893175125
042984,AZITRA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23250242322683334
178847,VYOME HOLDINGS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2307640641927719
038496,ERNEXA THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23045920133590697
012377,RESEARCH FRONTIERS INC,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.23022472262382507
020307,ELICIO THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.22987474203109742
037841,JAWS MUSTANG ACQU CORP,,Nonclassifiable,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.22944590896368028
162453,AEMETIS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.22896587550640107
037857,AEON BIOPHARMA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.22734638154506684
038537,INSPIRA TECH OXY BHN LTD,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.22678156197071075
066042,BIORESTORATIVE THERAPIES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.22335800528526306
039620,CINGULATE INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.22280557155609132
129823,BEASLEY BROADCAST GROUP INC,,Telecommunications,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.22185301333665847
022879,GREENPRO CAPITAL CORP,,Engineering & Management Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2215077444911003
033049,MARTI TECHNOLOGIES INC,,Auto Repair & Services,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.21840538531541825
018290,DSS INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.21807465553283692
033614,ELECTROCORE INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2169894278049469
033068,PURPLE INNOVATION INC,,Furniture & Fixtures,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2168354332447052
034055,KLX ENERGY SERVS HLDNG,,Oil & Gas Extraction,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2157030001282692
032941,BIOXCEL THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.214871908724308
039409,ALPHA MODUS HOLDINGS INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.21395302414894105
039160,ENSYSCE BIOSCIENCES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.21391406804323196
043935,HEALTHY CHOICE WELLNESS CORP,,Food Stores,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.21268777847290038
037633,CLENE INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.21175599694252015
254096,PLUS THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20997061878442763
041176,BIOAFFINITY TECHNOLOGIES INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20939304381608964
038025,LIMINATUS PHARMA INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20830966383218766
040428,AMAZE HOLDINGS INC,,Food & Kindred Products,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20793289691209793
039863,ONCONETIX INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20717656165361403
010235,TRINITY PLACE HOLDINGS INC,,Real Estate,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20706064999103546
039318,FARADAY FUTURE INTELLIGENT,,Transportation Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20570528656244277
040235,NEW ERA ENERGY & DIGITAL INC,,Oil & Gas Extraction,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20387826412916182
331856,IMMUNIC INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2031009539961815
040511,ASPIRE BIOPHARMA HOLDING INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20294379442930222
039570,OFFERPAD SOLUTIONS INC,,Real Estate,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.20187658965587615
031848,AVENUE THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.201680463552475
040601,HWH INTERNATIONAL INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.2014739617705345
034645,GIFTIFY INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19925077259540558
035210,ATERIAN INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1988136112689972
035814,BIOMX INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19860848486423494
017024,GLUCOTRACK INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1984376922249794
332115,ARMATA PHARMACEUTICALS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1975934013724327
158055,DYADIC INTERNATIONAL INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19730712622404098
040488,PICARD MEDICAL INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1968717023730278
166460,ASCENT SOLAR TECH INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19668563306331635
008611,POWER REIT,,Holding & Investment Offices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19429798871278764
043455,MEDICUS PHARMA LTD,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19390253275632857
021103,LIFEWARD LTD,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19360438734292984
033634,QUANTUM BIOPHARMA LTD,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19325795620679856
063446,AINOS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.19302098006010054
038089,BETTER HOME & FINANCE HLG CO,,Non-Depository Credit,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1914581060409546
039427,MOMENTUS INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18946702927350997
133871,SANGAMO THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18916057497262956
038676,OATLY GROUP AB,,Food & Kindred Products,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18868635967373848
036300,LYRA THERAPEUTICS INC,,Instruments & Medical Devices,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1874735549092293
041936,BULLFROG AI HOLDINGS INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18610322028398513
039875,ESS TECH INC,,Electronic Equipment,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1858215406537056
176593,CARPARTS COM INC,,Misc Retail,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.1854012832045555
018047,NOODLES & CO,,Eating & Drinking Places,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18521207571029663
061321,SMITH MICRO SOFTWARE INC,,Business Services & Software,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18470468968153
026669,INSIGHT MOLECLAR DIAGNOS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18385097235441208
165215,ALAUNOS THERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18261803239583968
039501,CALIDI BIOTHERAPEUTICS INC,,Chemicals & Pharmaceuticals,2025-12-31,Dec 2025 - Dec 2026 (12 months from last fiscal year),0.18193082958459855
