gvkey,conm,latest_observed_date,risk_window,pred_risk_next_12m
065430,CHILDRENS PLACE INC,2026-01-31,Apr 2026 → Apr 2027,0.09868137
016009,SPORTSMANS WAREHOUSE HLDGS,2026-01-31,Apr 2026 → Apr 2027,0.09024385
033603,DOMO INC,2026-01-31,Apr 2026 → Apr 2027,0.05826779
026335,DULUTH HOLDINGS INC,2026-01-31,Apr 2026 → Apr 2027,0.030740913
039156,TORRID HOLDINGS INC,2026-01-31,Apr 2026 → Apr 2027,0.026633259
038198,CHARGEPOINT HOLDINGS INC,2026-01-31,Apr 2026 → Apr 2027,0.022496864
187575,TILLY'S INC,2026-01-31,Apr 2026 → Apr 2027,0.02230928
013381,DESTINATION XL GROUP INC,2026-01-31,Apr 2026 → Apr 2027,0.021020928
002818,CATO CORP  -CL A,2026-01-31,Apr 2026 → Apr 2027,0.00818705
045281,RUBRIK INC,2026-01-31,Apr 2026 → Apr 2027,0.0068126987
015044,WORKDAY INC,2026-01-31,Apr 2026 → Apr 2027,0.006541164
014489,DELL TECHNOLOGIES INC,2026-01-31,Apr 2026 → Apr 2027,0.0064257914
030736,OKTA INC,2026-01-31,Apr 2026 → Apr 2027,0.0058768573
074793,GLOO HOLDINGS INC,2026-01-31,Apr 2026 → Apr 2027,0.005614845
036964,ASANA INC,2026-01-31,Apr 2026 → Apr 2027,0.0050828094
025756,EVERPURE INC,2026-01-31,Apr 2026 → Apr 2027,0.00423705
011259,WALMART INC,2026-01-31,Apr 2026 → Apr 2027,0.0041224235
038870,CORE & MAIN INC,2026-01-31,Apr 2026 → Apr 2027,0.003973683
001820,ASTRONOVA INC,2026-01-31,Apr 2026 → Apr 2027,0.00381964
074382,NETSKOPE INC,2026-01-31,Apr 2026 → Apr 2027,0.0037519722
019402,G-III APPAREL GROUP LTD,2026-01-31,Apr 2026 → Apr 2027,0.0035900597
038915,SPRINKLR INC,2026-01-31,Apr 2026 → Apr 2027,0.0035014746
066326,DESCARTES SYSTEMS GROUP INC,2026-01-31,Apr 2026 → Apr 2027,0.0034147191
060923,DAVE & BUSTER'S ENTMT INC,2026-01-31,Apr 2026 → Apr 2027,0.0032810594
030622,YEXT INC,2026-01-31,Apr 2026 → Apr 2027,0.0032360356
038135,PLANET LABS PBC,2026-01-31,Apr 2026 → Apr 2027,0.0029425484
162870,BRP INC,2026-01-31,Apr 2026 → Apr 2027,0.0028290732
035377,PHREESIA INC,2026-01-31,Apr 2026 → Apr 2027,0.0027771732
185195,VERA BRADLEY INC,2026-01-31,Apr 2026 → Apr 2027,0.0027396218
004115,DYCOM INDUSTRIES INC,2026-01-31,Apr 2026 → Apr 2027,0.002656706
024171,DESIGNER BRANDS INC,2026-01-31,Apr 2026 → Apr 2027,0.0024873435
019175,VINCE HOLDING CORP,2026-01-31,Apr 2026 → Apr 2027,0.0024686262
339965,SNOWFLAKE INC,2026-01-31,Apr 2026 → Apr 2027,0.0023868233
008832,ARGAN INC,2026-01-31,Apr 2026 → Apr 2027,0.002234962
020088,BOX INC,2026-01-31,Apr 2026 → Apr 2027,0.0022325986
039942,BRAZE INC,2026-01-31,Apr 2026 → Apr 2027,0.0021573808
035005,ZOOM COMMUNICATIONS INC,2026-01-31,Apr 2026 → Apr 2027,0.0019910007
006829,LOWE'S COS INC,2026-01-31,Apr 2026 → Apr 2027,0.0019194504
117768,NVIDIA CORP,2026-01-31,Apr 2026 → Apr 2027,0.0018211658
001878,AUTODESK INC,2026-01-31,Apr 2026 → Apr 2027,0.0017845698
011672,TJX COS INC (THE),2026-01-31,Apr 2026 → Apr 2027,0.0015085032
018689,VEEVA SYSTEMS INC,2026-01-31,Apr 2026 → Apr 2027,0.0014965864
001864,REX AMERICAN RESOURCES CORP,2026-01-31,Apr 2026 → Apr 2027,0.0014417808
015420,AMBARELLA INC,2026-01-31,Apr 2026 → Apr 2027,0.0013287644
032526,MONGODB INC,2026-01-31,Apr 2026 → Apr 2027,0.0013231372
045768,SAILPOINT INC,2026-01-31,Apr 2026 → Apr 2027,0.0012815703
007951,MOVADO GROUP INC,2026-01-31,Apr 2026 → Apr 2027,0.0012475544
039687,GITLAB INC,2026-01-31,Apr 2026 → Apr 2027,0.0012404309
024508,OOMA INC,2026-01-31,Apr 2026 → Apr 2027,0.0011960275
027938,SHOE CARNIVAL INC,2026-01-31,Apr 2026 → Apr 2027,0.0011845665
002184,BEST BUY CO INC,2026-01-31,Apr 2026 → Apr 2027,0.0011650166
008551,PVH CORP,2026-01-31,Apr 2026 → Apr 2027,0.001153659
122211,HOOKER FURNISHINGS CORP,2026-01-31,Apr 2026 → Apr 2027,0.001139089
137310,MARVELL TECHNOLOGY INC,2026-01-31,Apr 2026 → Apr 2027,0.0011324945
065986,BLACKBERRY LTD,2026-02-28,Apr 2026 → Apr 2027,0.0011288702
015520,SIGNET JEWELERS LTD,2026-01-31,Apr 2026 → Apr 2027,0.0011258654
