gvkey,conm
043856,3 E NETWORK TECHNO GROUP LTD
050580,707 CAYMAN HOLDINGS LTD
045804,AARDVARK THERAPEUTICS INC
060799,ACCELERANT HOLDINGS
042958,ADVANCED BIOMED INC
009919,AEBI SCHMIDT HOLDING AG
041441,AELUMA INC
051121,AETHER HOLDINGS INC
074496,ALLIANCE LAUNDRY HOLDING INC
043286,ALLIED GOLD CORP
060707,AMBIQ MICRO INC
051531,AMERICAN INTEGRITY INSURANCE
045685,ANBIO BIOTECHNOLOGY
074582,ANDERSEN GROUP INC
051684,ANTALPHA PLATFORM HOLDING CO
074783,APTERA MOTORS CORP
051383,ATEGRITY SPECIALTY INSURANCE
050302,AUREUS GREENWAY HOLDINGS INC
051244,AVIDIA BANCORP INC
050658,BASEL MEDICAL GROUP LTD
045785,BETA BIONICS INC
074628,BETA TECHNOLOGIES INC
074725,BILLIONTOONE INC
066009,BITMINE IMMERSION TECH INC
074439,BLACK ROCK COFFEE BAR INC
050435,BRAG HOUSE HOLDINGS INC
060820,BULLISH
051858,CAPSOVISION INC
074767,CARDINAL INFRASTRU GROUP INC
051869,CARIS LIFE SCIENCES INC
060795,CARLSMED INC
045537,CELLYAN BIOTECHNOLOGY CO LTD
051553,CHAGEE HOLDINGS LIMITED
051708,CHIME FINANCIAL INC
039966,CID HOLDCO INC
051461,CIRCLE INTERNET GROUP INC
032350,COASTALSOUTH BANCSHARES INC
074397,COMMERCIAL BANCGROUP INC
051139,COREWEAVE INC
051624,COSTAMARE BULKERS HOLDINGS
050874,CURANEX PHARMACEUTICALS INC
051903,DARKIRIS INC
050774,DECENT HOLDING INC
050621,DIGINEX LIMITED
036743,ELEMENTAL ROYALTY CORP
051654,ELITE EXPRESS HOLDING INC
025792,EMERA INC
045049,ENERGYS GROUP LTD
051424,ENIGMATIG LTD
043081,EPWK HOLDINGS LTD
051379,ETORO GROUP LTD
051160,EUROHOLDINGS LTD
035946,EVOMMUNE INC
040232,EXZEO GROUP INC
074449,FERMI INC
060849,FIGMA INC
074340,FIGURE TECHNOLOGY SOLUTIONS
060758,FIREFLY AEROSPACE INC
045710,FLOWCO HOLDINGS INC
045712,FUNCTIONAL BRANDS INC
033948,GALAXY DIGITAL INC
040593,GAMEHAUS HOLDINGS INC
037688,GBANK FINANCIAL HOLDINGS INC
061467,GEMINI SPACE STATION INC
074793,GLOO HOLDINGS INC
018164,GRABAGUN DIGITAL HOLDING INC
051265,HAPPY CITY HOLDINGS LTD
060787,HEARTFLOW INC
051497,HINGE HEALTH INC
051938,HOYNE BANCORP INC
050770,INFINITY NATURAL RSOURCS INC
050509,INLIF LTD
045566,INTERCONT (CAYMAN) LTD
028646,ISOENERGY LTD
051766,JEFFERSON CAPITAL INC
051425,JULONG HOLDING LTD
045783,KARMAN HOLDINGS INC
050999,KESTRA MEDICAL TECHNOLOG LTD
051266,KLARNA GROUP PLC
050707,KYIVSTAR GROUP LTD
074388,LB PHARMACEUTICALS INC
061463,LEGENCE CORP
043188,LIBERTY LIVE HOLDINGS INC
038025,LIMINATUS PHARMA INC
050372,LINKHOME HOLDINGS INC
045578,LOGPROSTYLE INC
075031,LUMEXA IMAGING HOLDINGS INC
034602,MAASE INC
074570,MAPLIGHT THERAPEUTICS INC
038678,MARATHON BANCORP INC
045757,MARWYNN HOLDINGS INC
045564,MAXSMAKING INC
045711,MAZE THERAPEUTICS INC
074887,MEDLINE INC
051653,MEGA FORTUNE CO LTD
060834,MIAMI INTERNATIONAL HOLD INC
045779,MILLROSE PROPERTIES INC
045707,MINT INCORPORATION LTD
051119,MNTN INC
039498,MSC INCOME FUND INC
060747,NASUS PHARMA LTD
074615,NAVAN INC
074430,NEPTUNE INSURANCE HLDNGS INC
074382,NETSKOPE INC
051314,NEWSMAX INC
060793,NIQ GLOBAL INTELLIGENCE PLC
050991,NOMADAR CORP
045796,NORTHPOINTE BANCSHARES INC
038977,ODYSIGHT.AI INC
074746,OFF THE HOOK YS INC
051803,OMADA HEALTH INC
013714,PARAMOUNT SKYDANCE CORP
074434,PARK DENTAL PARTNERS INC
074383,PATTERN GROUP INC
040488,PICARD MEDICAL INC
045539,PICOCELA INC -ADR
042894,PING AN BIOMEDICAL CO LTD
051036,PITANIUM LTD
051705,PLATINUM ANALYTICS CYMAN LTD
074813,QNITY ELECTRONICS INC
051921,RALLIANT CORP
051668,REGENTIS BIOMATERIALS LTD
051058,RESOLUTE HOLDINGS MANAGEMENT
051165,RICH SPARKLE HOLDINGS LTD
060856,RUBICO INC
050491,RYOJBABA CO LTD
045768,SAILPOINT INC
051008,SANDISK CORP
060722,SHOULDER INNOVATIONS INC
045769,SIONNA THERAPEUTICS INC
050884,SKYCORP SOLAR GROUP LTD
045545,SKYLINE BUILDERS GRP HLD LTD
051778,SLIDE INSURANCE HOLDINGS INC
045538,SMART DIGITAL GROUP LTD
040692,SMARTSTOP SELF STORAGE R INC
045775,SMITHFIELD FOODS INC
074797,SOLSTICE ADVANCED MTRILS INC
033773,SS INNOVATIONS INTERNATI INC
050969,STAK INC
051514,STARZ ENTERTAINMENT CORP
051380,STUBHUB HOLDINGS INC
074927,SUNOCOCORP LLC
045655,TEN HOLDINGS INC
026083,TIANCI INTERNATIONAL INC
045751,TITAN AMERICA SA
032589,TITAN MINING CORP
041214,TJGC GROUP LTD
045713,TMD ENERGY LTD
050708,TOPPOINT HOLDINGS INC
024625,TOTALENERGIES SE
074422,TURN THERAPEUTICS INC
038263,TWENTY ONE CAPITAL INC
045723,VENTURE GLOBAL INC
061461,VIA TRANSPORTATION INC
051841,VIEWBIX INC
039268,VISIONWAVE HOLDINGS INC
051747,VOYAGER TECHNOLOGIES INC
036512,VROOM INC
074529,WATERBRIDGE INFRASTRCTRE LLC
074646,WEALTHFRONT CORP
041278,WEBULL CORP
050437,WELLGISTICS HEALTH INC
042007,WETOUR ROBOTICS LTD
043573,WF INTERNATIONAL LTD
060791,WHITEFIBER INC
051645,WINCHESTER BANCORP INC
039574,XCF GLOBAL INC
050678,YUANBAO INC -ADR
050992,ZENTA GROUP CO LTD
