gvkey,conm,suggested_ticker,yahoo_score
043856,3 E NETWORK TECHNO GROUP LTD,CU=F,3001700.0
050580,707 CAYMAN HOLDINGS LTD,CADMNT=X,30001.0
045804,AARDVARK THERAPEUTICS INC,AARD,20004.0
060799,ACCELERANT HOLDINGS,GL4.F,20001.0
042958,ADVANCED BIOMED INC,ADVB,20003.0
009919,AEBI SCHMIDT HOLDING AG,AEBI,20006.0
041441,AELUMA INC,ALMU,20018.0
051121,AETHER HOLDINGS INC,ATHR,20003.0
074496,ALLIANCE LAUNDRY HOLDING INC,ALH,20004.0
043286,ALLIED GOLD CORP,A240.F,20002.0
189598,ALMONTY INDUSTRIES INC,ALM,20007.0
060707,AMBIQ MICRO INC,AMBQ,20001.0
051531,AMERICAN INTEGRITY INSURANCE,8DI.F,20005.0
366911,AMRIZE LTD,AMRZ,20001.0
045685,ANBIO BIOTECHNOLOGY,NNNN,20006.0
074582,ANDERSEN GROUP INC,ANDG,20003.0
051684,ANTALPHA PLATFORM HOLDING CO,ANTA,20003.0
074783,APTERA MOTORS CORP,SEV,20004.0
334288,ASCENTAGE PHARMA GROUP,AAPG,20003.0
051383,ATEGRITY SPECIALTY INSURANCE,A1Q.F,20005.0
175230,AURA MINERALS INC,AUGO,20011.0
050302,AUREUS GREENWAY HOLDINGS INC,AGH,20001.0
160753,AVIDBANK HOLDINGS INC,AVBH,20001.0
051244,AVIDIA BANCORP INC,AVBC,20001.0
050658,BASEL MEDICAL GROUP LTD,BMGL,20005.0
045785,BETA BIONICS INC,BBNX,20003.0
074628,BETA TECHNOLOGIES INC,BETA,20002.0
074725,BILLIONTOONE INC,BLLN,20006.0
066009,BITMINE IMMERSION TECH INC,BMNR,20047.0
074439,BLACK ROCK COFFEE BAR INC,BRCB,20008.0
126474,BOYD GROUP SERVICES INC,BGSI,20004.0
050435,BRAG HOUSE HOLDINGS INC,TBH,20009.0
356257,BTQ TECHNOLOGIES CORP,BTQ,20003.0
060820,BULLISH,BLSH,20004.0
051858,CAPSOVISION INC,CV,20006.0
074767,CARDINAL INFRASTRU GROUP INC,CDNL,20007.0
051869,CARIS LIFE SCIENCES INC,CAI,20006.0
060795,CARLSMED INC,CARL,20006.0
045537,CELLYAN BIOTECHNOLOGY CO LTD,HKPD,20003.0
154511,CENTRAL BANCOMPANY,CBC,20003.0
051553,CHAGEE HOLDINGS LIMITED,CHA,20008.0
051708,CHIME FINANCIAL INC,CHYM,20009.0
039966,CID HOLDCO INC,DAIC,20004.0
051461,CIRCLE INTERNET GROUP INC,CRCL,20031.0
